City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,uturoa,-16.7333,-151.4333,80.62,80,23,22.77,PF,1702258545
343,hasaki,35.7333,140.8333,64.29,65,83,2.48,JP,1702258546
344,dalandzadgad,43.5708,104.425,20.17,54,5,2.77,MN,1702258546
345,kavieng,-2.5744,150.7967,83.16,79,27,10.67,PG,1702258546
346,mount gambier,-37.8333,140.7667,61.99,90,100,13.24,AU,1702258252
347,belmonte,-15.8631,-38.8828,76.3,86,0,6.17,BR,1702258547
348,jincheng,35.5022,112.8328,28.62,91,100,1.63,CN,1702258547
349,kumagunnam,13.1551,10.6342,62.71,28,61,11.88,NG,1702258547
350,tralee,52.2704,-9.7026,47.61,90,20,9.24,IE,1702258548
351,uusikaupunki,60.8004,21.4084,20.75,95,100,8.3,FI,1702258548
352,coquimbo,-29.9533,-71.3436,60.53,77,0,3.44,CL,1702258548
353,ketchikan,55.3422,-131.6461,39.18,86,0,0.0,US,1702258469
354,guerrero negro,27.9769,-114.0611,66.45,45,0,6.31,MX,1702258549
355,llandudno,53.325,-3.8315,49.98,49,97,11.01,GB,1702258412
356,baishan,41.9431,126.4286,19.33,52,100,3.83,CN,1702258549
357,igarka,67.4667,86.5833,-21.26,98,100,6.04,RU,1702258550
358,labytnangi,66.6572,66.4183,-18.72,99,100,7.9,RU,1702258550
359,udachny,66.4167,112.4,-14.6,96,100,11.74,RU,1702258550
